gene_id,mean_cpm_ground,mean_cpm_flight,n_ground,n_flight,log2fc_flight_vs_ground
AT2G39980,0.4658612270605676,2.9381154058808963,18,18,1.4257568596831236
AT3G24310,2.913427659609821,9.510161380510551,18,18,1.425280139871154
AT4G10860,0.4856719127030438,2.985813629289744,18,18,1.423758698962449
AT3G47480,8.990587481260228,25.79790256370662,18,18,1.4234786661679117
AT3G14620,1.1949658616760641,4.886270952547103,18,18,1.42315545121048
AT5G19800,3.196309466248018,10.250937549526526,18,18,1.4228522456398032
AT1G71140,0.1997142158954254,2.2165565837430212,18,18,1.4228262857817022
AT5G50700,1.3165858909503618,5.203250707243559,18,18,1.4210242597957614
AT2G43570,2.868494981484547,9.350782898352515,18,18,1.419895585059993
AT3G01345,6.798996095229002,19.85247505792414,18,18,1.4188582986759604
AT2G04038,0.7829686575782914,3.7596996341958087,18,18,1.4165891912715172
AT3G62680,10.167683204760994,28.649537215251485,18,18,1.4086796645363828
AT5G23220,41.712164638768016,111.60491660716043,18,18,1.3985509001351906
AT1G15610,2.600564620275566,8.47180758680723,18,18,1.395416614306345
AT4G16260,6.629622981211299,18.98658205597692,18,18,1.3893481021338148
AT5G24530,30.684146365518515,81.85744030835902,18,18,1.386870105276673
AT4G40090,21.674221383441097,58.22206140069781,18,18,1.3850816982109346
AT3G44703,0.22699599077170696,2.1622622108994323,18,18,1.3658264641771756
AT1G69490,9.315719779824283,25.493842123872813,18,18,1.3608125889506224
AT2G25450,47.58083393600329,123.66550585729472,18,18,1.3596031754304163
AT2G05440,14.142364910947522,37.80984211718056,18,18,1.357832023306037
AT1G64480,0.6395395983321237,3.1938345623974396,18,18,1.3549792051189444
AT5G52680,3.6954955841094215,11.008022092457272,18,18,1.3546491966858096
AT1G17345,0.17401462632198328,1.9905203216467793,18,18,1.34894613905833
AT1G30990,4.29254298097124,12.437806421551857,18,18,1.3442646671897849
AT4G02280,5.532691621483835,15.511835624948803,18,18,1.337751070520471
AT4G37220,0.5784594228034624,2.9833703383948817,18,18,1.3354724409051684
AT3G18250,2.661831948673174,8.239173419600313,18,18,1.3351982035592762
AT5G06640,6.864367638611032,18.791101546674884,18,18,1.331449242542031
AT3G19615,2.8789812078813797,8.757971989107297,18,18,1.3309035553164876
AT5G19790,2.0952046593788185,6.729582147600825,18,18,1.3203556201466455
AT2G30230,2.2321696862415497,7.065903949558355,18,18,1.319333285559925
AT2G22860,79.69042301492519,200.20027534008037,18,18,1.3181629212703156
AT4G33980,6.51764455348468,17.693640558582917,18,18,1.3141949500221375
AT4G30320,3.056896122928331,9.081185558193907,18,18,1.3132170434576738
AT5G06570,10.023549028978117,26.35541094396858,18,18,1.3112374546095766
AT3G04070,1.0641474547085263,4.079923172864282,18,18,1.2992606433085947
AT5G18470,2.554236796947269,7.738369130496382,18,18,1.2978242476345812
AT4G25790,1.748107755446731,5.74732498861215,18,18,1.2958770772470785
AT1G19960,62.072021195853786,153.6149836493533,18,18,1.2936080653504518
AT3G23150,4.653996809780856,12.780989303552754,18,18,1.2853364850583755
AT3G46190,0.5268160248316074,2.71432123270461,18,18,1.2825723583290412
